race,team,athlete,birthday
6003,EGY,"HASSANEIN Nour El Din",1988-08-10
6004,TUN,"KAZDAGHLI Ahmed",1992-05-23
6005,BEN,"HINKATI Privel",1988-12-08
6006,IRQ,"IBRAHIM Omer Ismail",1996-06-27
6007,UKR,"BUDKO Serhii",1992-11-26
6008,EGY,"HASSANEIN Nour El Din",1988-08-10
6009,INA,"MEMO Memo",1995-01-08
601,AUS,"COOK Sarah",1985-02-04
601,AUS,"FRASCA Pauline",1980-07-01
601,AUS,"HEARD Sarah",1983-10-04
601,AUS,"HORNSEY Kate",1981-10-19
6010,CHN,"LI Ganggang",1995-09-20
6011,SWE,"BACKEUS Anders",1987-07-01
6012,LBA,"IBRAHIM Mohamed",1994-07-15
6013,PUR,"MIHALIK Mario",1983-11-28
6014,MON,"ANTOGNELLI Quentin",1994-08-15
6015,UZB,"KUDRYASHOV Artyom",1987-05-25
6016,ROU,"PRUNDEANU Ioan",1993-01-17
6017,SUI,"KESSLER Markus",1992-05-18
6018,CIV,"BOUEHI Riccardo",1999-07-26
6019,BEN,"HINKATI Privel",1988-12-08
602,NZL,"BEHRENT Genevieve",1990-09-25
602,NZL,"BURNSIDE Alexandra",1989-08-21
602,NZL,"SPOORS Lucy",1990-12-24
602,NZL,"STEVENSON Zoe",1991-06-19
6020,GER,"HARTIG Lars",1990-12-24
6021,ITA,"RAMBALDI Luca",1994-12-09
6022,KOR,"KIM Dongyong",1990-12-12
6023,SRB,"BOGICEVIC Dusan",1990-04-28
6024,URU,"DUMESTRE GUARAGLIA Emiliano",1987-02-11
6025,VAN,"TEILEMB Luigi",1992-02-25
6026,ARG,"ROSSO Brian",1987-08-16
6027,TUN,"KAZDAGHLI Ahmed",1992-05-23
6028,ZIM,"PURCELL-GILPIN Peter",1994-07-04
6029,CAN,"LUSSIER Pascal",1991-09-13
603,NZL,"BEHRENT Genevieve",1990-09-25
603,NZL,"BURNSIDE Alexandra",1989-08-21
603,NZL,"SPOORS Lucy",1990-12-24
603,NZL,"STEVENSON Zoe",1991-06-19
6030,KAZ,"YAKOVLEV Vladislav",1993-01-01
6031,DEN,"NIELSEN Sverri",1993-10-14
6032,TUN,"KAZDAGHLI Ahmed",1992-05-23
6033,LTU,"GRISKONIS Mindaugas",1986-01-17
6034,SRB,"BOGICEVIC Dusan",1990-04-28
6035,ZIM,"PURCELL-GILPIN Peter",1994-07-04
6036,INA,"MEMO Memo",1995-01-08
6037,ARG,"ROSSO Brian",1987-08-16
6038,CUB,"FOURNIER RODRIGUEZ Angel",1987-12-31
6039,BRA,"HIESTAND Steve",1984-09-15
604,NED,"ACHTERBERG Chantal",1985-04-16
604,NED,"BOUW Carline",1984-12-14
604,NED,"DEKKER Femke",1979-07-11
604,NED,"KINGMA Nienke",1982-02-12
6040,KAZ,"YAKOVLEV Vladislav",1993-01-01
6041,IRQ,"IBRAHIM Omer Ismail",1996-06-27
6042,BEL,"OBRENO Hannes",1991-03-08
6043,NOR,"TUFTE Olaf",1976-04-27
6044,CAN,"LUSSIER Pascal",1991-09-13
6045,LBA,"IBRAHIM Mohamed",1994-07-15
6046,EGY,"HASSANEIN Nour El Din",1988-08-10
6047,MEX,"CABRERA Juan Carlos",1991-11-09
6048,CHN,"LI Ganggang",1995-09-20
6049,NZL,"DRYSDALE Mahe",1978-11-19
605,USA,"ALLEN Mara",1987-02-11
605,USA,"COX Alison",1979-06-05
605,USA,"LUCZAK Grace",1989-05-24
605,USA,"MARTELLI Adrienne",1987-12-03
6050,UKR,"BUDKO Serhii",1992-11-26
6051,UZB,"KUDRYASHOV Artyom",1987-05-25
6052,CIV,"BOUEHI Riccardo",1999-07-26
6053,PUR,"MIHALIK Mario",1983-11-28
6054,GBR,"CAMPBELL Alan",1983-05-09
6055,SWE,"BACKEUS Anders",1987-07-01
6056,USA,"JURKOWSKI Kenneth",1981-09-02
6057,CZE,"SYNEK Ondrej",1982-10-13
6058,ISR,"FRIDMAN Dani",1988-01-30
6059,ROU,"PRUNDEANU Ioan",1993-01-17
606,AUS,"COOK Sarah",1985-02-04
606,AUS,"FRASCA Pauline",1980-07-01
606,AUS,"HEARD Sarah",1983-10-04
606,AUS,"HORNSEY Kate",1981-10-19
6060,MON,"ANTOGNELLI Quentin",1994-08-15
6061,BEN,"HINKATI Privel",1988-12-08
6062,URU,"DUMESTRE GUARAGLIA Emiliano",1987-02-11
6063,ITA,"RAMBALDI Luca",1994-12-09
6064,CRO,"MARTIN Damir",1988-07-14
6065,FIN,"VEN Robert",1990-08-23
6066,SUI,"KESSLER Markus",1992-05-18
6067,GER,"HARTIG Lars",1990-12-24
6068,POL,"WEGRZYCKI-SZYMCZYK Natan",1995-01-05
6069,KOR,"KIM Dongyong",1990-12-12
607,GER,"BAER Carina",1990-01-23
607,GER,"MANKER Tina",1989-03-03
607,GER,"OPPELT Britta",1978-07-05
607,GER,"RICHTER Julia",1988-09-29
6070,VAN,"TEILEMB Luigi",1992-02-25
6071,BLR,"SHCHARBACHENIA Stanislau",1985-03-05
6072,ITA,"CAPELLI Vincenzo",1988-10-26
6072,ITA,"MORNATI Niccolo",1980-10-28
6073,SRB,"BEDIK Nenad",1989-04-14
6073,SRB,"VASIC Milos",1991-01-10
6074,NZL,"BOND Hamish",1986-02-13
6074,NZL,"MURRAY Eric",1982-05-06
6075,GBR,"FOAD James",1987-03-20
6075,GBR,"LANGRIDGE Matt",1983-05-20
6076,AUS,"HARGREAVES Jack",1993-07-24
6076,AUS,"WHEATLEY Nicholas",1993-03-12
6077,NED,"BRAAS Roel",1987-03-11
6077,NED,"STEENMAN Mitchel",1984-06-17
6078,CAN,"BARAKSO Martin",1994-08-03
6078,CAN,"EVANS Michael",1990-08-23
6079,ROU,"PALAMARIU George",1991-03-17
6079,ROU,"PIRGHIE Cristi-Ilie",1992-07-20
608,USA,"DELL Natalie",1985-02-20
608,USA,"KALMOE Megan",1983-08-21
608,USA,"SHUMWAY Margot",1979-08-02
608,USA,"TROWBRIDGE Sarah",1982-09-27
6080,FRA,"CHARDIN Germain",1983-05-15
6080,FRA,"MORTELETTE Dorian",1983-11-24
6081,USA,"AGHAI Dariush",1990-05-15
6081,USA,"DI SANTO Michael",1989-12-10
6082,RSA,"HUNT David",1991-02-01
6082,RSA,"KEELING Shaun",1987-01-21
6083,ESP,"SIGURBJONSSON BENET Alexander",1988-12-13
6083,ESP,"VELA MAGGI Pau",1986-05-31
6084,RUS,"SHCHULEPOV Grigorii",1994-06-23
6084,RUS,"STRADAEV Alexandr",1994-03-21
6085,CHN,"CHENG Xunman",1994-06-01
6085,CHN,"SHEN Jiankun",1994-04-14
6086,TUR,"KAZAKLI Onat",1993-05-09
6086,TUR,"RAFAIL Fuad",1989-07-19
6087,GER,"EGLER Alexander",1990-11-22
6087,GER,"KLUGE Peter",1990-06-13
6088,BLR,"FURMAN Dzmitry",1990-07-19
6088,BLR,"SURAVETS Dzianis",1986-03-17
6089,MEX,"SANCHEZ SANCHEZ Diego",1994-10-08
6089,MEX,"TEJADA RIOS Leopoldo",1986-11-17
609,UKR,"BURYAK Olena",1988-02-08
609,UKR,"DEMENTIEVA Yana",1978-10-23
609,UKR,"KOZHENKOVA Anastasiia",1986-01-19
609,UKR,"TARASENKO Kateryna",1987-08-06
6090,FIN,"KILPELAEINEN Antti",1993-03-13
6090,FIN,"NAUKKARINEN Joel",1993-03-30
6091,BRA,"DELAZERI Vinicios",1995-04-27
6091,BRA,"PEREIRA Victor",1995-08-22
6092,POL,"HOJKA Piotr",1984-06-12
6092,POL,"WOJEWODZIC Konrad",1991-09-15
6093,HUN,"JUHASZ Adrian",1989-11-18
6093,HUN,"SIMON Jr Bela",1988-08-04
6094,CHI,"LEAL ATERO Felipe",1982-03-08
6094,CHI,"VASQUEZ OCHOA Oscar",1986-11-15
6095,UKR,"CHYKANOV Sergiy",1979-11-03
6095,UKR,"LYKOV Oleg",1973-08-01
6096,CZE,"HELESIC Lukas",1996-01-29
6096,CZE,"LAPACEK Jan",1984-03-15
6097,ARG,"HAACK Axel",1995-03-31
6097,ARG,"LOPEZ Diego",1986-06-26
6098,CRO,"SAIN David",1988-02-08
6098,CRO,"VEKIC Mario",1982-12-27
6099,CAN,"BARAKSO Martin",1994-08-03
6099,CAN,"EVANS Michael",1990-08-23
61,FIN,"KARPPINEN Juho",1983-11-04
610,GBR,"FLOOD Debbie",1980-02-27
610,GBR,"HOUGHTON Frances",1980-09-19
610,GBR,"RODFORD Beth",1982-12-28
610,GBR,"VERNON Annabel",1982-09-01
6100,RSA,"HUNT David",1991-02-01
6100,RSA,"KEELING Shaun",1987-01-21
6101,NZL,"BOND Hamish",1986-02-13
6101,NZL,"MURRAY Eric",1982-05-06
6102,SRB,"BEDIK Nenad",1989-04-14
6102,SRB,"VASIC Milos",1991-01-10
6103,ITA,"CAPELLI Vincenzo",1988-10-26
6103,ITA,"MORNATI Niccolo",1980-10-28
6104,USA,"AGHAI Dariush",1990-05-15
6104,USA,"DI SANTO Michael",1989-12-10
6105,ESP,"SIGURBJONSSON BENET Alexander",1988-12-13
6105,ESP,"VELA MAGGI Pau",1986-05-31
6106,NED,"BRAAS Roel",1987-03-11
6106,NED,"STEENMAN Mitchel",1984-06-17
6107,FRA,"CHARDIN Germain",1983-05-15
6107,FRA,"MORTELETTE Dorian",1983-11-24
6108,GBR,"FOAD James",1987-03-20
6108,GBR,"LANGRIDGE Matt",1983-05-20
6109,AUS,"HARGREAVES Jack",1993-07-24
6109,AUS,"WHEATLEY Nicholas",1993-03-12
611,AUS,"CROW Kim",1985-08-09
611,AUS,"HORE Kerry",1981-07-03
611,AUS,"KEHOE Sally",1986-09-25
611,AUS,"PRATLEY Brooke",1980-04-06
6110,ROU,"PALAMARIU George",1991-03-17
6110,ROU,"PIRGHIE Cristi-Ilie",1992-07-20
6111,BRA,"DELAZERI Vinicios",1995-04-27
6111,BRA,"PEREIRA Victor",1995-08-22
6112,POL,"HOJKA Piotr",1984-06-12
6112,POL,"WOJEWODZIC Konrad",1991-09-15
6113,GER,"EGLER Alexander",1990-11-22
6113,GER,"KLUGE Peter",1990-06-13
6114,CHN,"CHENG Xunman",1994-06-01
6114,CHN,"SHEN Jiankun",1994-04-14
6115,MEX,"SANCHEZ SANCHEZ Diego",1994-10-08
6115,MEX,"TEJADA RIOS Leopoldo",1986-11-17
6116,UKR,"CHYKANOV Sergiy",1979-11-03
6116,UKR,"LYKOV Oleg",1973-08-01
6117,HUN,"JUHASZ Adrian",1989-11-18
6117,HUN,"SIMON Jr Bela",1988-08-04
6118,TUR,"KAZAKLI Onat",1993-05-09
6118,TUR,"RAFAIL Fuad",1989-07-19
6119,BLR,"FURMAN Dzmitry",1990-07-19
6119,BLR,"SURAVETS Dzianis",1986-03-17
612,NZL,"ARMSTRONG Genevieve",1988-06-16
612,NZL,"BOURKE Fiona",1988-10-16
612,NZL,"GRAY Sarah",1990-10-28
612,NZL,"MATTHEWS Linda",1990-11-10
6120,RUS,"SHCHULEPOV Grigorii",1994-06-23
6120,RUS,"STRADAEV Alexandr",1994-03-21
6121,CHI,"LEAL ATERO Felipe",1982-03-08
6121,CHI,"VASQUEZ OCHOA Oscar",1986-11-15
6122,FIN,"KILPELAEINEN Antti",1993-03-13
6122,FIN,"NAUKKARINEN Joel",1993-03-30
6123,BRA,"DELAZERI Vinicios",1995-04-27
6123,BRA,"PEREIRA Victor",1995-08-22
6124,GER,"EGLER Alexander",1990-11-22
6124,GER,"KLUGE Peter",1990-06-13
6125,NED,"BRAAS Roel",1987-03-11
6125,NED,"STEENMAN Mitchel",1984-06-17
6126,NZL,"BOND Hamish",1986-02-13
6126,NZL,"MURRAY Eric",1982-05-06
6127,USA,"AGHAI Dariush",1990-05-15
6127,USA,"DI SANTO Michael",1989-12-10
6128,CHI,"LEAL ATERO Felipe",1982-03-08
6128,CHI,"VASQUEZ OCHOA Oscar",1986-11-15
6129,TUR,"KAZAKLI Onat",1993-05-09
6129,TUR,"RAFAIL Fuad",1989-07-19
613,ROU,"BOGHIAN Andreea",1991-11-29
613,ROU,"DORNEANU Irina",1990-03-03
613,ROU,"GRIGORAS Cristina",1990-04-25
613,ROU,"ILIE Cristina",1989-07-12
6130,ESP,"SIGURBJONSSON BENET Alexander",1988-12-13
6130,ESP,"VELA MAGGI Pau",1986-05-31
6131,SRB,"BEDIK Nenad",1989-04-14
6131,SRB,"VASIC Milos",1991-01-10
6132,AUS,"HARGREAVES Jack",1993-07-24
6132,AUS,"WHEATLEY Nicholas",1993-03-12
6133,HUN,"JUHASZ Adrian",1989-11-18
6133,HUN,"SIMON Jr Bela",1988-08-04
6134,CHN,"CHENG Xunman",1994-06-01
6134,CHN,"SHEN Jiankun",1994-04-14
6135,UKR,"CHYKANOV Sergiy",1979-11-03
6135,UKR,"LYKOV Oleg",1973-08-01
6136,MEX,"SANCHEZ SANCHEZ Diego",1994-10-08
6136,MEX,"TEJADA RIOS Leopoldo",1986-11-17
6137,ITA,"CAPELLI Vincenzo",1988-10-26
6137,ITA,"MORNATI Niccolo",1980-10-28
6138,GBR,"FOAD James",1987-03-20
6138,GBR,"LANGRIDGE Matt",1983-05-20
6139,CAN,"BARAKSO Martin",1994-08-03
6139,CAN,"EVANS Michael",1990-08-23
614,CHN,"JIANG Yan",1989-01-10
614,CHN,"JIN Ziwei",1985-10-17
614,CHN,"WANG Lei",1986-12-20
614,CHN,"ZHANG Min",1993-06-20
6140,BLR,"FURMAN Dzmitry",1990-07-19
6140,BLR,"SURAVETS Dzianis",1986-03-17
6141,FIN,"KILPELAEINEN Antti",1993-03-13
6141,FIN,"NAUKKARINEN Joel",1993-03-30
6142,RUS,"SHCHULEPOV Grigorii",1994-06-23
6142,RUS,"STRADAEV Alexandr",1994-03-21
6143,ROU,"PALAMARIU George",1991-03-17
6143,ROU,"PIRGHIE Cristi-Ilie",1992-07-20
6144,RSA,"HUNT David",1991-02-01
6144,RSA,"KEELING Shaun",1987-01-21
6145,FRA,"CHARDIN Germain",1983-05-15
6145,FRA,"MORTELETTE Dorian",1983-11-24
6146,POL,"HOJKA Piotr",1984-06-12
6146,POL,"WOJEWODZIC Konrad",1991-09-15
6147,ARG,"HAACK Axel",1995-03-31
6147,ARG,"LOPEZ Diego",1986-06-26
6148,CHN,"CHENG Xunman",1994-06-01
6148,CHN,"SHEN Jiankun",1994-04-14
6149,BRA,"DELAZERI Vinicios",1995-04-27
6149,BRA,"PEREIRA Victor",1995-08-22
615,CAN,"CAMERON Emily",1982-12-05
615,CAN,"DeVOS Peggy",1979-10-11
615,CAN,"PENNEY Isolda",1974-07-09
615,CAN,"RUMBALL Jane",1978-07-09
6150,CZE,"HELESIC Lukas",1996-01-29
6150,CZE,"LAPACEK Jan",1984-03-15
6151,CRO,"SAIN David",1988-02-08
6151,CRO,"VEKIC Mario",1982-12-27
6152,UKR,"CHYKANOV Sergiy",1979-11-03
6152,UKR,"LYKOV Oleg",1973-08-01
6153,FIN,"KILPELAEINEN Antti",1993-03-13
6153,FIN,"NAUKKARINEN Joel",1993-03-30
6154,BLR,"FURMAN Dzmitry",1990-07-19
6154,BLR,"SURAVETS Dzianis",1986-03-17
6155,NZL,"BOND Hamish",1986-02-13
6155,NZL,"MURRAY Eric",1982-05-06
6156,CZE,"HELESIC Lukas",1996-01-29
6156,CZE,"LAPACEK Jan",1984-03-15
6157,ESP,"SIGURBJONSSON BENET Alexander",1988-12-13
6157,ESP,"VELA MAGGI Pau",1986-05-31
6158,RUS,"SHCHULEPOV Grigorii",1994-06-23
6158,RUS,"STRADAEV Alexandr",1994-03-21
6159,CHN,"CHENG Xunman",1994-06-01
6159,CHN,"SHEN Jiankun",1994-04-14
616,SUI,"ERNST Martina",1983-07-01
616,SUI,"FIECHTER Nora",1981-06-23
616,SUI,"HAUSER Katja",1989-05-02
616,SUI,"NAUNHEIM Regina",1984-03-02
6160,CAN,"BARAKSO Martin",1994-08-03
6160,CAN,"EVANS Michael",1990-08-23
6161,USA,"AGHAI Dariush",1990-05-15
6161,USA,"DI SANTO Michael",1989-12-10
6162,POL,"HOJKA Piotr",1984-06-12
6162,POL,"WOJEWODZIC Konrad",1991-09-15
6163,SRB,"BEDIK Nenad",1989-04-14
6163,SRB,"VASIC Milos",1991-01-10
6164,FIN,"KILPELAEINEN Antti",1993-03-13
6164,FIN,"NAUKKARINEN Joel",1993-03-30
6165,ARG,"HAACK Axel",1995-03-31
6165,ARG,"LOPEZ Diego",1986-06-26
6166,GER,"EGLER Alexander",1990-11-22
6166,GER,"KLUGE Peter",1990-06-13
6167,HUN,"JUHASZ Adrian",1989-11-18
6167,HUN,"SIMON Jr Bela",1988-08-04
6168,GBR,"FOAD James",1987-03-20
6168,GBR,"LANGRIDGE Matt",1983-05-20
6169,ROU,"PALAMARIU George",1991-03-17
6169,ROU,"PIRGHIE Cristi-Ilie",1992-07-20
617,RUS,"ANTSIFEROVA Maria",1988-02-18
617,RUS,"DUDCHENKO Inga",1988-05-28
617,RUS,"GOLUBEVA Evgeniya",1988-03-24
617,RUS,"KRASILNIKOVA Maria",1990-10-08
6170,CRO,"SAIN David",1988-02-08
6170,CRO,"VEKIC Mario",1982-12-27
6171,AUS,"HARGREAVES Jack",1993-07-24
6171,AUS,"WHEATLEY Nicholas",1993-03-12
6172,UKR,"CHYKANOV Sergiy",1979-11-03
6172,UKR,"LYKOV Oleg",1973-08-01
6173,CHI,"LEAL ATERO Felipe",1982-03-08
6173,CHI,"VASQUEZ OCHOA Oscar",1986-11-15
6174,RSA,"HUNT David",1991-02-01
6174,RSA,"KEELING Shaun",1987-01-21
6175,MEX,"SANCHEZ SANCHEZ Diego",1994-10-08
6175,MEX,"TEJADA RIOS Leopoldo",1986-11-17
6176,ITA,"CAPELLI Vincenzo",1988-10-26
6176,ITA,"MORNATI Niccolo",1980-10-28
6177,FRA,"CHARDIN Germain",1983-05-15
6177,FRA,"MORTELETTE Dorian",1983-11-24
6178,BRA,"DELAZERI Vinicios",1995-04-27
6178,BRA,"PEREIRA Victor",1995-08-22
6179,NED,"BRAAS Roel",1987-03-11
6179,NED,"STEENMAN Mitchel",1984-06-17
618,RUS,"ANTSIFEROVA Maria",1988-02-18
618,RUS,"DUDCHENKO Inga",1988-05-28
618,RUS,"GOLUBEVA Evgeniya",1988-03-24
618,RUS,"KRASILNIKOVA Maria",1990-10-08
6180,TUR,"KAZAKLI Onat",1993-05-09
6180,TUR,"RAFAIL Fuad",1989-07-19
6181,FRA,"ANDRODIAS Matthieu",1990-06-11
6181,FRA,"BOUCHERON Hugo",1993-05-30
6182,AUS,"BELONOGOFF Alexander",1990-04-17
6182,AUS,"MCRAE James",1987-06-27
6183,GER,"HACKER Marcel",1977-04-29
6183,GER,"KRUEGER Stephan",1988-11-29
6184,CRO,"SINKOVIC Martin",1989-11-10
6184,CRO,"SINKOVIC Valent",1988-08-02
6185,LTU,"MASCINSKAS Rolandas",1992-08-06
6185,LTU,"RITTER Saulius",1988-08-23
6186,NZL,"HARRIS Chris",1985-10-19
6186,NZL,"MANSON Robert",1989-10-11
6187,BUL,"BOZHILOV Georgi",1989-04-09
6187,BUL,"VASILEV Kristian",1991-11-18
6188,NOR,"BORCH Kjetil",1990-02-14
6188,NOR,"HOFF Nils Jakob",1985-02-05
6189,ITA,"BATTISTI Romano",1986-08-21
6189,ITA,"GENTILI Giacomo",1997-07-03
619,SUI,"ERNST Martina",1983-07-01
619,SUI,"FIECHTER Nora",1981-06-23
619,SUI,"HAUSER Katja",1989-05-02
619,SUI,"NAUNHEIM Regina",1984-03-02
6190,CUB,"OQUENDO IBANEZ Adrian",1990-02-23
6190,CUB,"RUBIO RODRIGUEZ Eduardo",1986-11-13
6191,GBR,"COLLINS John",1989-01-24
6191,GBR,"WALTON Jonathan",1990-10-06
6192,AZE,"ALEKSANDROV Aleksandar",1990-04-09
6192,AZE,"YOTOV Boris",1996-02-25
6193,UKR,"FUTRYK Ivan",1989-12-05
6193,UKR,"GRYN Sergii",1981-12-27
6194,CZE,"JIRKA David",1982-01-04
6194,CZE,"PLOCEK Michal",1994-04-17
6195,SRB,"MARJANOVIC Marko",1985-11-24
6195,SRB,"SLJUKIC Andrija",1995-09-08
6196,DEN,"JOHANNESEN Sophus",1987-04-20
6196,DEN,"STEFFENSEN Frank",1988-07-29
6197,USA,"DANN Benjamin",1990-11-26
6197,USA,"GRAVES John",1988-03-26
6198,POL,"CZAJA Dominik",1995-08-12
6198,POL,"ZAWOJSKI Maciej",1992-12-31
6199,HUN,"PAPP Gergely",1993-10-15
6199,HUN,"PETERVARI-MOLNAR Bendeguz",1993-03-14
62,MON,"RAYMOND Mathias",1986-01-13
620,GER,"BAER Carina",1990-01-23
620,GER,"MANKER Tina",1989-03-03
620,GER,"OPPELT Britta",1978-07-05
620,GER,"RICHTER Julia",1988-09-29
6200,LAT,"ADAMAITIS Dairis",1989-03-04
6200,LAT,"ZUNDE Gints",1994-03-13
6201,ARG,"MURILLO Rodrigo",1986-05-20
6201,ARG,"ROSSO Cristian",1984-01-29
6202,EST,"ANDERSON Sten-Erik",1991-01-30
6202,EST,"KUSLAP Kaur",1990-01-26
6203,ESP,"GARCIA Juan",1990-09-17
6203,ESP,"GUZMAN DEL CASTILLO Noe",1983-06-13
6204,SLO,"FISTRAVEC Gasper",1987-01-27
6204,SLO,"ZUPAN Janez",1989-08-04
6205,EGY,"ELBANA Abdel Khalek",1988-07-04
6205,EGY,"FATHY Moustafa",1989-02-21
6206,PER,"LINARES RUIZ Eduardo",1988-02-29
6206,PER,"TORRES MASIAS Alvaro",1993-06-11
6207,CHN,"LI Laifu",1993-10-08
6207,CHN,"NI Xulin",1996-01-06
6208,ISR,"GONOROVSKI Oleg",1990-12-26
6208,ISR,"SHVARTSMAN Tomer",1996-10-16
6209,AZE,"ALEKSANDROV Aleksandar",1990-04-09
6209,AZE,"YOTOV Boris",1996-02-25
621,USA,"DELL Natalie",1985-02-20
621,USA,"KALMOE Megan",1983-08-21
621,USA,"SHUMWAY Margot",1979-08-02
621,USA,"TROWBRIDGE Sarah",1982-09-27
6210,NOR,"BORCH Kjetil",1990-02-14
6210,NOR,"HOFF Nils Jakob",1985-02-05
6211,CRO,"SINKOVIC Martin",1989-11-10
6211,CRO,"SINKOVIC Valent",1988-08-02
6212,NZL,"HARRIS Chris",1985-10-19
6212,NZL,"MANSON Robert",1989-10-11
6213,AUS,"BELONOGOFF Alexander",1990-04-17
6213,AUS,"MCRAE James",1987-06-27
6214,ITA,"BATTISTI Romano",1986-08-21
6214,ITA,"GENTILI Giacomo",1997-07-03
6215,GBR,"COLLINS John",1989-01-24
6215,GBR,"WALTON Jonathan",1990-10-06
6216,CUB,"OQUENDO IBANEZ Adrian",1990-02-23
6216,CUB,"RUBIO RODRIGUEZ Eduardo",1986-11-13
6217,FRA,"ANDRODIAS Matthieu",1990-06-11
6217,FRA,"BOUCHERON Hugo",1993-05-30
6218,LTU,"MASCINSKAS Rolandas",1992-08-06
6218,LTU,"RITTER Saulius",1988-08-23
6219,GER,"HACKER Marcel",1977-04-29
6219,GER,"KRUEGER Stephan",1988-11-29
622,CAN,"CAMERON Emily",1982-12-05
622,CAN,"DeVOS Peggy",1979-10-11
622,CAN,"PENNEY Isolda",1974-07-09
622,CAN,"RUMBALL Jane",1978-07-09
6220,BUL,"BOZHILOV Georgi",1989-04-09
6220,BUL,"VASILEV Kristian",1991-11-18
6221,LAT,"ADAMAITIS Dairis",1989-03-04
6221,LAT,"ZUNDE Gints",1994-03-13
6222,CZE,"JIRKA David",1982-01-04
6222,CZE,"PLOCEK Michal",1994-04-17
6223,SRB,"MARJANOVIC Marko",1985-11-24
6223,SRB,"SLJUKIC Andrija",1995-09-08
6224,UKR,"FUTRYK Ivan",1989-12-05
6224,UKR,"GRYN Sergii",1981-12-27
6225,EST,"ANDERSON Sten-Erik",1991-01-30
6225,EST,"KUSLAP Kaur",1990-01-26
6226,SLO,"FISTRAVEC Gasper",1987-01-27
6226,SLO,"ZUPAN Janez",1989-08-04
6227,ESP,"GARCIA Juan",1990-09-17
6227,ESP,"GUZMAN DEL CASTILLO Noe",1983-06-13
6228,ARG,"MURILLO Rodrigo",1986-05-20
6228,ARG,"ROSSO Cristian",1984-01-29
6229,DEN,"JOHANNESEN Sophus",1987-04-20
6229,DEN,"STEFFENSEN Frank",1988-07-29
623,ROU,"BOGHIAN Andreea",1991-11-29
623,ROU,"DORNEANU Irina",1990-03-03
623,ROU,"GRIGORAS Cristina",1990-04-25
623,ROU,"ILIE Cristina",1989-07-12
6230,USA,"DANN Benjamin",1990-11-26
6230,USA,"GRAVES John",1988-03-26
6231,POL,"CZAJA Dominik",1995-08-12
6231,POL,"ZAWOJSKI Maciej",1992-12-31
6232,HUN,"PAPP Gergely",1993-10-15
6232,HUN,"PETERVARI-MOLNAR Bendeguz",1993-03-14
6233,AZE,"ALEKSANDROV Aleksandar",1990-04-09
6233,AZE,"YOTOV Boris",1996-02-25
6234,CUB,"OQUENDO IBANEZ Adrian",1990-02-23
6234,CUB,"RUBIO RODRIGUEZ Eduardo",1986-11-13
6235,CRO,"SINKOVIC Martin",1989-11-10
6235,CRO,"SINKOVIC Valent",1988-08-02
6236,UKR,"FUTRYK Ivan",1989-12-05
6236,UKR,"GRYN Sergii",1981-12-27
6237,SLO,"FISTRAVEC Gasper",1987-01-27
6237,SLO,"ZUPAN Janez",1989-08-04
6238,ARG,"MURILLO Rodrigo",1986-05-20
6238,ARG,"ROSSO Cristian",1984-01-29
6239,POL,"CZAJA Dominik",1995-08-12
6239,POL,"ZAWOJSKI Maciej",1992-12-31
624,NZL,"ARMSTRONG Genevieve",1988-06-16
624,NZL,"BOURKE Fiona",1988-10-16
624,NZL,"GRAY Sarah",1990-10-28
624,NZL,"MATTHEWS Linda",1990-11-10
6240,SRB,"MARJANOVIC Marko",1985-11-24
6240,SRB,"SLJUKIC Andrija",1995-09-08
6241,GER,"HACKER Marcel",1977-04-29
6241,GER,"KRUEGER Stephan",1988-11-29
6242,NZL,"HARRIS Chris",1985-10-19
6242,NZL,"MANSON Robert",1989-10-11
6243,HUN,"PAPP Gergely",1993-10-15
6243,HUN,"PETERVARI-MOLNAR Bendeguz",1993-03-14
6244,BUL,"BOZHILOV Georgi",1989-04-09
6244,BUL,"VASILEV Kristian",1991-11-18
6245,LAT,"ADAMAITIS Dairis",1989-03-04
6245,LAT,"ZUNDE Gints",1994-03-13
6246,USA,"DANN Benjamin",1990-11-26
6246,USA,"GRAVES John",1988-03-26
6247,ITA,"BATTISTI Romano",1986-08-21
6247,ITA,"GENTILI Giacomo",1997-07-03
6248,LTU,"MASCINSKAS Rolandas",1992-08-06
6248,LTU,"RITTER Saulius",1988-08-23
6249,AUS,"BELONOGOFF Alexander",1990-04-17
6249,AUS,"MCRAE James",1987-06-27
625,AUS,"CROW Kim",1985-08-09
625,AUS,"HORE Kerry",1981-07-03
625,AUS,"KEHOE Sally",1986-09-25
625,AUS,"PRATLEY Brooke",1980-04-06
6250,CZE,"JIRKA David",1982-01-04
6250,CZE,"PLOCEK Michal",1994-04-17
6251,EST,"ANDERSON Sten-Erik",1991-01-30
6251,EST,"KUSLAP Kaur",1990-01-26
6252,DEN,"JOHANNESEN Sophus",1987-04-20
6252,DEN,"STEFFENSEN Frank",1988-07-29
6253,GBR,"COLLINS John",1989-01-24
6253,GBR,"WALTON Jonathan",1990-10-06
6254,FRA,"ANDRODIAS Matthieu",1990-06-11
6254,FRA,"BOUCHERON Hugo",1993-05-30
6255,NOR,"BORCH Kjetil",1990-02-14
6255,NOR,"HOFF Nils Jakob",1985-02-05
6256,ESP,"GARCIA Juan",1990-09-17
6256,ESP,"GUZMAN DEL CASTILLO Noe",1983-06-13
